WIMB,Monoglobus_absabun,Ruminococcus_torques_group_absabund,Monoglobus_relabund,Ruminococcus_torques_group_relabund,Totalreads_sample,SPID
342,16,2962,0.000671056,0.124229334,23843,5084870101
343,167,314,0.005384839,0.010124786,31013,5095525355
344,55,605,0.002000364,0.022004001,27495,5095532816
346,60,1525,0.002347693,0.05967054,25557,5084827758
347,224,3525,0.005722753,0.090056717,39142,5084884115
348,0,2639,0,0.074742268,35308,5105411312
349,159,382,0.004287448,0.010300661,37085,5105780741
35,274,1659,0.00575957,0.034872722,47573,5105000600
351,167,230,0.005028303,0.006925208,33212,5095530042
354,454,51,0.01042097,0.001170638,43566,5105444524
355,130,648,0.004300791,0.021437787,30227,5105755457
356,283,147,0.009319327,0.004840781,30367,5115226464
357,56,202,0.002671628,0.009636945,20961,5115228672
36,13,1213,0.000441891,0.041231857,29419,5104925311
360,0,79,0,0.002786498,28351,5095532873
361,43,158,0.001590825,0.005845357,27030,5095584585
363,0,9483,0,0.16541078,57330,5115262718
364,0,1702,0,0.052690236,32302,5115251577
365,48,2696,0.001981342,0.111285396,24226,5084753470
367,29,76,0.000958868,0.002512895,30244,5084877680
369,359,2246,0.008945926,0.055968104,40130,5115185266
37,544,808,0.020447284,0.030370231,26605,5115146787
370,64,1237,0.001020441,0.019723205,62718,5115145557
371,94,1446,0.001622312,0.02495599,57942,5115108481
372,403,830,0.005788899,0.011922547,69616,5115138722
373,565,2081,0.006557567,0.024152739,86160,5115187803
374,10,153,0.0003462,0.005296867,28885,5105788046
375,14,355,0.00038835,0.009847434,36050,5105748662
377,173,3508,0.002902295,0.058851161,59608,5115224740
378,0,275,0,0.013191346,20847,5115105161
379,0,1432,0,0.04033462,35503,5105787132
38,29,1123,0.000997729,0.038636207,29066,5084755846
380,193,631,0.007578732,0.024778136,25466,5084753610
381,202,940,0.006961196,0.032393687,29018,5084703076
382,189,1846,0.005478896,0.053513451,34496,5094553365
383,102,1315,0.003117741,0.0401944,32716,5094513186
385,19,205,0.000598105,0.006453238,31767,5084843505
386,422,715,0.014410108,0.02441523,29285,5084714718
387,449,764,0.011237924,0.01912199,39954,5084776075
388,180,1393,0.005973121,0.046225319,30135,5095585304
390,116,102,0.003543933,0.003116217,32732,5084803543
391,123,135,0.003379214,0.003708893,36399,5084867020
392,124,2464,0.004109362,0.081657001,30175,5084802188
393,254,1497,0.008763758,0.051650968,28983,5084861262
394,260,1042,0.007225233,0.02895651,35985,5084841077
395,240,38,0.006952894,0.001100875,34518,5115234247
396,1223,176,0.059045044,0.008497079,20713,5094624731
398,128,2247,0.003332292,0.058497345,38412,5105427420
399,107,1364,0.002973957,0.037911004,35979,5115123833
4,0,351,0,0.007904159,44407,5094585401
40,0,0,0,0,62240,5081065002
400,46,221,0.000897001,0.004309504,51282,5115115358
404,122,1429,0.003866388,0.045287444,31554,5094574548
405,7,1026,0.000149662,0.021936201,46772,5105741718
406,180,1128,0.006118495,0.038342568,29419,5105714708
407,872,570,0.020240002,0.013230276,43083,5084736217
408,1337,646,0.038054306,0.018386748,35134,5084802845
409,23,944,0.000993778,0.040788109,23144,5084883016
41,129,256,0.004576578,0.009082201,28187,5094664842
410,0,1418,0,0.044305577,32005,5084875746
412,0,183,0,0.006769003,27035,5094581486
413,50,356,0.001643872,0.011704366,30416,5105720566
414,253,157,0.005854991,0.003633334,43211,5105776237
415,475,726,0.01648447,0.025195211,28815,5105756616
416,9,571,0.000303378,0.019247624,29666,5105766813
417,333,6102,0.006010396,0.110136452,55404,5094644347
418,100,1343,0.003616637,0.048571429,27650,5094548101
420,171,268,0.007567376,0.011859981,22597,5095570780
421,118,690,0.003297471,0.019281822,35785,5105734266
422,58,403,0.002363777,0.016424176,24537,5084734418
423,74,329,0.003156727,0.014034639,23442,5084854161
424,161,1333,0.004501985,0.037274202,35762,5084736534
425,0,1063,0,0.041323278,25724,5084748250
426,83,423,0.003135744,0.015980959,26469,5084713743
427,0,304,0,0.014286386,21279,5105825122
428,866,112,0.03256986,0.004212268,26589,5095573543
429,546,982,0.023212312,0.041748151,23522,5095503831
43,0,271,0,0.006050458,44790,5094518461
431,256,217,0.01129744,0.009576346,22660,5094685445
432,4,66,0.000135003,0.002227547,29629,5105741071
433,371,2485,0.010304697,0.069022026,36003,5105788287
440,3,4306,0.000133144,0.191105983,22532,5094652201
441,80,2701,0.00226206,0.076372787,35366,5115165701
442,66,5911,0.001613179,0.144477306,40913,5115181778
444,29,232,0.001241438,0.009931507,23360,5105452063
445,56,1522,0.001885458,0.051244066,29701,5115103414
446,81,2347,0.002751826,0.079735009,29435,5115114710
447,135,462,0.004862412,0.016640254,27764,5115165453
448,0,319,0,0.008058201,39587,5084827364
449,132,1067,0.003148855,0.025453244,41920,5084804777
45,0,1317,0,0.033229884,39633,5094631213
450,387,8921,0.004592109,0.105855829,84275,5084872535
